site_no,station_nm,approved_pct,n_approved,dt_min,span_days,complete_pct,grid_complete_pct,nan_pct,longest_gap_hr,unbroken_days,median_fnu,p05_fnu,p95_fnu,max_fnu,n_base_spikes,base_spike_pct,n_raw,note
01651003,"NORTHWEST BRANCH ANACOSTIA RIVER AT BRENTWOOD, MD",100.0,198079.0,5.0,732.0,94.0,94.0,0.0,177.1,119.0,3.6,1.3,43.5,576.0,1399.0,0.706,,
0204289989,"STORM DRAIN AT SHEPPARD AVENUE NEAR NORFOLK, VA",47.5,80410.0,5.0,403.0,69.4,69.4,0.0,221.0,20.0,4.7,1.7,17.7,527.0,1368.0,1.701,,
0204279294,"STORM DRAIN AT LAKEWOOD PK DR NR NEWPORT NEWS, VA",53.7,104520.0,5.0,397.0,91.3,91.3,0.0,212.6,88.0,0.1,0.0,17.6,691.0,1940.0,1.856,,
0204279245,"STORM DRAIN AT RIVERS RDG CIR NR NEWPORT NEWS, VA",50.2,84593.0,5.0,393.0,74.7,74.7,0.0,140.5,33.0,3.2,0.5,16.3,756.0,1337.0,1.581,,
393259107194801,"COLORADO R ABV ROARING FORK R AT GLENWOOD SPGS, CO",100.0,95801.0,5.0,732.0,45.4,45.4,0.0,406.8,102.0,6.3,2.7,39.4,2730.0,1036.0,1.081,,
01589290,"SCOTTS LEVEL BRANCH AT ROCKDALE, MD",91.3,190474.0,5.0,732.0,90.4,90.4,0.0,1515.4,263.0,2.8,1.0,28.4,1440.0,1730.0,0.908,,
01135100,"POPE BROOK TRIBUTARY (W-9), NR NORTH DANVILLE, VT",100.0,127372.0,5.0,732.0,60.4,60.4,0.0,50.6,360.0,3.0,0.3,21.3,3050.0,1281.0,1.006,,
14243000,"COWLITZ RIVER AT CASTLE ROCK, WA",20.7,36060.0,5.0,194.0,64.7,64.7,0.0,614.8,37.0,3.6,1.6,128.0,1940.0,231.0,0.641,,
10349700,"WHITES CK NR STEAMBOAT, NV",100.0,93700.0,5.0,350.0,92.8,92.8,0.0,303.0,289.0,3.8,1.7,8.0,169.0,150.0,0.16,,
16226200,"N. Halawa Str nr Honolulu, Oahu, HI",100.0,24063.0,5.0,673.0,12.4,12.4,0.0,1621.4,8.0,6.0,1.0,97.0,2500.0,541.0,2.248,,
0164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",100.0,194798.0,5.0,732.0,92.4,92.4,0.0,477.1,253.0,1.5,0.3,15.2,591.0,2283.0,1.172,,
040851385,"FOX RIVER AT OIL TANK DEPOT AT GREEN BAY, WI",100.0,201120.0,5.0,732.0,95.4,95.4,0.0,314.5,246.0,11.3,4.1,37.7,186.0,826.0,0.411,,
01362342,HOLLOW TREE BROOK AT LANESVILLE NY,100.0,29530.0,5.0,732.0,14.0,14.0,0.0,9421.7,41.0,0.3,0.2,2.6,485.0,324.0,1.097,,
10348000,"TRUCKEE RV AT RENO, NV",100.0,163308.0,5.0,725.0,78.2,78.2,0.0,640.1,153.0,5.1,1.6,11.5,2380.0,649.0,0.397,,
01585075,"FOSTER BRANCH NEAR JOPPATOWNE, MD",100.0,208196.0,5.0,732.0,98.8,98.8,0.0,109.3,521.0,11.6,5.5,91.1,3400.0,772.0,0.371,,
01579550,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",100.0,205558.0,5.0,731.0,97.7,97.7,0.0,336.8,322.0,6.4,0.9,32.2,275.0,755.0,0.367,,
0204309906,"CONVEYANCE CHAN AT RAMSGATE LN NR GREAT BRIDGE, VA",50.4,72802.0,5.0,337.0,75.1,75.1,0.0,256.0,39.0,5.3,2.2,15.8,610.0,750.0,1.03,,
0204306533,"STORM DRAIN AT LUDLOW DRIVE NEAR KEMPSVILLE, VA",49.9,88171.0,5.0,392.0,78.1,78.1,0.0,208.0,48.0,4.7,1.4,27.7,264.0,723.0,0.82,,
0204295063,"STORM DRAIN AT LINDSLEY DR NEAR VIRGINIA BEACH, VA",53.7,104136.0,5.0,396.0,91.2,91.2,0.0,242.4,133.0,0.0,0.0,5.8,960.0,1225.0,1.176,,
01650800,"SLIGO CREEK NEAR TAKOMA PARK, MD",100.0,208642.0,5.0,732.0,99.0,99.0,0.0,22.6,182.0,1.5,0.4,18.1,961.0,989.0,0.474,,
0204288786,"STORM DRAIN AT PROFESSIONAL PL NEAR CHESAPEAKE, VA",59.9,98302.0,5.0,395.0,86.3,86.3,0.0,290.6,67.0,22.5,5.7,45.2,992.0,1488.0,1.514,,
01651827,"Anacostia River nr Buzzard Point at Washington, DC",100.0,82426.0,15.0,732.0,117.3,98.6,0.0,194.5,379.0,6.0,3.5,22.9,140.0,156.0,0.225,,
01651760,"ANACOSTIA RIVER AT KENILWORTH AT WASHINGTON, DC",100.0,100966.0,5.0,363.0,96.5,96.5,0.0,296.8,211.0,13.9,7.8,38.1,338.0,103.0,0.102,,
01594441,Patuxent R at Gov Bridge Natural Area nr Bowie MD,100.0,119891.0,5.0,432.0,96.5,96.5,0.0,108.4,204.0,10.6,3.5,48.9,338.0,670.0,0.559,,
03447687,"French Broad R nr Fletcher, NC [INCUMBENT 15-min]",100.0,67027.0,15.0,732.0,95.4,95.4,0.0,308.2,513.0,8.3,3.0,62.4,1000.0,273.0,0.407,,
02198840,"Savannah R at I-95 nr Port Wentworth, GA [INCUMBENT 15-min]",100.0,69297.0,15.0,732.0,98.6,98.6,0.0,12.5,294.0,13.2,7.1,25.9,124.0,83.0,0.12,,
08041770,"LNVA Canal at Beaumont, TX [INCUMBENT 15-min]",100.0,69836.0,15.0,732.0,99.4,99.4,0.0,59.2,663.0,28.4,18.8,44.1,140.0,39.0,0.056,,
