dataset,median,robust_sigma,step_sigma,rel_noise,spread_ratio,n_spikes,th90,n90,th95,n95,th100,n100
01467200_l1,6.5,3.1134599999999995,0.7413,0.11404615384615384,4.199999999999999,63,1.6,214,1.42,314,1.4,334.0
01467200_l2,6.5,3.1134599999999995,0.7413,0.11404615384615384,4.199999999999999,169,1.7,274,1.34,495,1.12,1369.0
01467200_l3,6.5,3.1134599999999995,0.7413,0.11404615384615384,4.199999999999999,337,1.52,492,1.42,564,1.02,10863.0
02054550_l1,1.9,1.3343399999999999,0.14825999999999978,0.07803157894736831,9.000000000000012,63,1.36,902,1.36,902,,
02054550_l2,1.9,1.3343399999999999,0.14825999999999978,0.07803157894736831,9.000000000000012,169,1.18,1670,1.12,2274,,
02054550_l3,1.9,1.3343399999999999,0.14825999999999978,0.07803157894736831,9.000000000000012,337,1.24,1552,1.16,2013,,
040851385_l1,11.3,7.264739999999997,0.5930400000000005,0.05248141592920358,12.249999999999986,63,1.74,533,1.54,810,1.44,1044.0
040851385_l2,11.4,7.26474,0.5930400000000005,0.05202105263157899,12.24999999999999,169,1.42,1206,1.38,1341,1.2,2545.0
040851385_l3,11.3,7.26474,0.5930400000000005,0.05248141592920358,12.24999999999999,337,1.5,1134,1.42,1372,1.1,5029.0
