site_no,station_nm,state,lat,lon,huc_cd,site_tp_cd,begin_date,end_date,record_days,dt_min,n,approved_pct,precip_00045
14243000,"COWLITZ RIVER AT CASTLE ROCK, WA",WA,46.2748332,-122.9145587,17080005.0,ST,2020-10-29,2026-08-17,2118.0,5.0,1123,0.0,False
10349700,"WHITES CK NR STEAMBOAT, NV",NV,39.385278,-119.834444,160501020305.0,ST,2024-07-16,2026-08-17,762.0,5.0,739,100.0,False
16226200,"N. Halawa Str nr Honolulu, Oahu, HI",HI,21.382,-157.9033333,20060000.0,ST,2020-07-04,2026-08-17,2235.0,5.0,299,100.0,False
0164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",VA,38.929661,-77.341139,20700081004.0,ST,2021-03-11,2026-08-17,1985.0,5.0,1152,100.0,False
040851385,"FOX RIVER AT OIL TANK DEPOT AT GREEN BAY, WI",WI,44.5286111,-88.01,4030204.0,ST,2011-03-18,2026-08-17,5631.0,5.0,1086,0.0,False
01362342,HOLLOW TREE BROOK AT LANESVILLE NY,NY,42.14175,-74.2648611,2020006.0,ST,2017-02-15,2026-07-07,3429.0,5.0,174,0.0,False
10348000,"TRUCKEE RV AT RENO, NV",NV,39.53018865,-119.7954684,16050102.0,ST,2023-02-02,2026-08-17,1292.0,5.0,1036,100.0,False
01585075,"FOSTER BRANCH NEAR JOPPATOWNE, MD",MD,39.40852778,-76.34263889,20600030602.0,ST,2019-11-15,2026-08-17,2467.0,5.0,1152,0.0,False
01579550,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",MD,39.62605556,-76.15775,2050306.0,ST,2014-02-10,2026-08-17,4571.0,5.0,1152,100.0,False
0204309906,"CONVEYANCE CHAN AT RAMSGATE LN NR GREAT BRIDGE, VA",VA,36.69064444,-76.2123167,3010205.0,ST-CA,2024-07-30,2026-08-17,748.0,5.0,597,100.0,False
0204306533,"STORM DRAIN AT LUDLOW DRIVE NEAR KEMPSVILLE, VA",VA,36.7912083,-76.1313361,3010205.0,FA-STS,2024-07-31,2026-08-17,747.0,5.0,1020,0.0,False
0204295063,"STORM DRAIN AT LINDSLEY DR NEAR VIRGINIA BEACH, VA",VA,36.85802778,-76.0221944,2080108.0,FA-STS,2024-07-31,2026-08-17,747.0,5.0,1143,0.0,False
01650800,"SLIGO CREEK NEAR TAKOMA PARK, MD",MD,38.9862222,-77.0048611,2070010.0,ST,2019-07-10,2026-08-17,2595.0,5.0,1150,0.0,False
0204288786,"STORM DRAIN AT PROFESSIONAL PL NEAR CHESAPEAKE, VA",VA,36.7638111,-76.22907778,2080208.0,FA-STS,2024-07-30,2026-08-17,748.0,5.0,861,0.0,False
01651827,"Anacostia River nr Buzzard Point at Washington, DC",DC,38.86516667,-77.0103333,2070010.0,ST-TS,2019-03-11,2026-08-17,2716.0,5.0,1152,100.0,False
01651760,"ANACOSTIA RIVER AT KENILWORTH AT WASHINGTON, DC",DC,38.90916667,-76.95527778,2070010.0,ST-TS,2024-07-03,2026-08-17,775.0,5.0,1152,100.0,False
01594441,Patuxent R at Gov Bridge Natural Area nr Bowie MD,MD,38.9468333,-76.69488889,2060006.0,ST,2024-04-26,2026-08-17,843.0,5.0,1132,100.0,False
