dataset,cadence,rule,n_true,n_cand,recall,prec
02198840_l1,15min,abs 2.2,21,81,0.9047619047619048,0.2345679012345679
02198840_l1,15min,mad 4,21,4023,1.0,0.005219985085756898
02198840_l1,15min,mad 6,21,2142,1.0,0.00980392156862745
02198840_l1,15min,mad 8,21,1262,1.0,0.01664025356576862
02198840_l1,15min,budget 175,21,173,1.0,0.12138728323699421
02198840_l2,15min,abs 1.3,56,1339,0.9642857142857143,0.040328603435399554
02198840_l2,15min,abs 1.5,56,507,0.9642857142857143,0.10650887573964497
02198840_l2,15min,abs 1.8,56,214,0.9464285714285714,0.24766355140186916
02198840_l2,15min,abs 2.2,56,112,0.9107142857142857,0.45535714285714285
02198840_l2,15min,mad 4,56,4020,0.9821428571428571,0.013681592039800995
02198840_l2,15min,mad 6,56,2155,0.9821428571428571,0.025522041763341066
02198840_l2,15min,mad 8,56,1275,0.9642857142857143,0.042352941176470586
02198840_l2,15min,budget 175,56,173,0.9464285714285714,0.3063583815028902
02198840_l3,15min,abs 1.3,112,1408,0.9821428571428571,0.078125
02198840_l3,15min,abs 1.5,112,561,0.9464285714285714,0.1889483065953654
02198840_l3,15min,abs 1.8,112,265,0.9285714285714286,0.39245283018867927
02198840_l3,15min,abs 2.2,112,167,0.9285714285714286,0.6227544910179641
02198840_l3,15min,mad 4,112,4091,1.0,0.027377169396235638
02198840_l3,15min,mad 6,112,2225,1.0,0.050337078651685394
02198840_l3,15min,mad 8,112,1345,0.9821428571428571,0.08178438661710037
02198840_l3,15min,budget 175,112,173,0.9285714285714286,0.6011560693641619
03447687_l1,15min,abs 1.3,21,1254,0.9047619047619048,0.015151515151515152
03447687_l1,15min,abs 1.5,21,643,0.8095238095238095,0.026438569206842923
03447687_l1,15min,abs 1.8,21,334,0.7619047619047619,0.04790419161676647
03447687_l1,15min,abs 2.2,21,176,0.6190476190476191,0.07386363636363637
03447687_l1,15min,mad 4,21,4609,0.9523809523809523,0.004339336081579518
03447687_l1,15min,mad 6,21,3140,0.9523809523809523,0.006369426751592357
