dataset,gauge,level,median,std,mad,step_mad,window,k,thresh,n_events,detected,n_flagged,pct_flagged,n_clusters,fp_clusters
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,4.0,12.453839999999998,7,2,42,0.019922586520947177,7,5
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,5.0,15.567299999999998,7,0,20,0.009486945962355798,2,2
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,6.0,18.680759999999996,7,0,2,0.0009486945962355798,2,2
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,8.0,24.907679999999996,7,0,2,0.0009486945962355798,2,2
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,10.0,31.134599999999995,7,0,1,0.0004743472981177899,1,1
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,12.0,37.36151999999999,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,15.0,46.701899999999995,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,6h,20.0,62.26919999999999,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,0.5,1.5567299999999997,7,6,1618,0.7674939283545841,216,212
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,1.0,3.1134599999999995,7,6,552,0.26183970856102,53,49
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,2.0,6.226919999999999,7,4,135,0.06403688524590163,15,12
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,3.0,9.340379999999998,7,2,7,0.0033204310868245293,7,5
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,4.0,12.453839999999998,7,1,5,0.0023717364905889494,5,4
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,5.0,15.567299999999998,7,0,2,0.0009486945962355798,2,2
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,6.0,18.680759999999996,7,0,2,0.0009486945962355798,2,2
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,8.0,24.907679999999996,7,0,2,0.0009486945962355798,2,2
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,10.0,31.134599999999995,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,12.0,37.36151999999999,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,15.0,46.701899999999995,7,0,0,0.0,0,0
01467200_l3,01467200,l3,6.5,5.256008092413478,3.1134599999999995,0.7413,12h,20.0,62.26919999999999,7,0,0,0.0,0,0
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,0.5,0.6671699999999999,1,1,4881,2.315289162112933,804,803
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,1.0,1.3343399999999999,1,0,3304,1.567243472981178,493,493
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,2.0,2.6686799999999997,1,0,2173,1.0307566788099576,317,317
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,3.0,4.003019999999999,1,0,1600,0.7589556769884639,257,257
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,4.0,5.337359999999999,1,0,1288,0.6109593199757134,202,202
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,5.0,6.6716999999999995,1,0,1072,0.5085003035822708,164,164
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,6.0,8.006039999999999,1,0,883,0.4188486642380085,145,145
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,8.0,10.674719999999999,1,0,681,0.3230305100182149,111,111
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,10.0,13.343399999999999,1,0,550,0.2608910139647845,94,94
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,12.0,16.012079999999997,1,0,457,0.21677671523983,87,87
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,15.0,20.015099999999997,1,0,354,0.16791894353369763,76,76
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,1h,20.0,26.686799999999998,1,0,264,0.12522768670309653,64,64
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,0.5,0.6671699999999999,1,1,8143,3.8626100485731634,573,572
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,1.0,1.3343399999999999,1,0,5731,2.718484365513054,336,336
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,2.0,2.6686799999999997,1,0,4054,1.9230039465695203,210,210
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,3.0,4.003019999999999,1,0,3066,1.4543488160291438,155,155
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,4.0,5.337359999999999,1,0,2578,1.2228673345476624,128,128
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,5.0,6.6716999999999995,1,0,2131,1.0108340922890102,106,106
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,6.0,8.006039999999999,1,0,1848,0.8765938069216758,91,91
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,8.0,10.674719999999999,1,0,1389,0.6588683970856102,76,76
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,10.0,13.343399999999999,1,0,1107,0.5251024590163934,65,65
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,12.0,16.012079999999997,1,0,854,0.4050925925925926,60,60
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,15.0,20.015099999999997,1,0,701,0.33251745598057075,55,55
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,3h,20.0,26.686799999999998,1,0,477,0.2262636612021858,50,50
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,0.5,0.6671699999999999,1,1,9186,4.357354280510018,428,427
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,1.0,1.3343399999999999,1,0,6642,3.1506147540983607,265,265
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,2.0,2.6686799999999997,1,0,4663,2.2118814511232543,154,154
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,3.0,4.003019999999999,1,0,3754,1.7806997571341834,111,111
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,4.0,5.337359999999999,1,0,3296,1.5634486945962356,88,88
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,5.0,6.6716999999999995,1,0,2825,1.3400311171827566,75,75
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,6.0,8.006039999999999,1,0,2459,1.1664200060716454,64,64
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,8.0,10.674719999999999,1,0,1837,0.8713759866423801,55,55
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,10.0,13.343399999999999,1,0,1530,0.7257513661202186,54,54
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,12.0,16.012079999999997,1,0,1257,0.5962545537340619,49,49
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,15.0,20.015099999999997,1,0,880,0.41742562234365516,46,46
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,6h,20.0,26.686799999999998,1,0,612,0.29030054644808745,42,42
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,12h,0.5,0.6671699999999999,1,1,12288,5.828779599271402,237,236
02054550_l1,02054550,l1,1.9,28.144348769096077,1.3343399999999999,0.14825999999999978,12h,1.0,1.3343399999999999,1,0,8243,3.9100447783849424,153,153
