dataset,window,q,thresh,n_events,detected,n_flagged,per_month
02054550_l1,6h,0.9999,463.75597735719924,1,0,2,0.08333333333333333
02054550_l1,6h,0.99995,467.14637592918274,1,0,1,0.041666666666666664
02054550_l1,12h,0.99,106.93414939309038,1,0,184,7.666666666666667
02054550_l1,12h,0.995,176.84084623015931,1,0,125,5.208333333333333
02054550_l1,12h,0.999,315.33488433110983,1,0,29,1.2083333333333333
02054550_l1,12h,0.9995,417.32189008023886,1,0,2,0.08333333333333333
02054550_l1,12h,0.9999,497.0657297648233,1,0,1,0.041666666666666664
02054550_l1,12h,0.99995,506.61406678239854,1,0,1,0.041666666666666664
02054550_l2,1h,0.99,17.659583333333305,2,0,402,16.75
02054550_l2,1h,0.995,38.64416666666707,2,0,168,7.0
02054550_l2,1h,0.999,110.3746249999987,2,0,23,0.9583333333333334
02054550_l2,1h,0.9995,145.83812500000204,2,0,13,0.5416666666666666
02054550_l2,1h,0.9999,293.26139166668963,2,0,3,0.125
02054550_l2,1h,0.99995,384.47709583338343,2,0,3,0.125
02054550_l2,3h,0.99,43.81541666666696,2,0,240,10.0
02054550_l2,3h,0.995,90.99569444444478,2,0,111,4.625
02054550_l2,3h,0.999,216.28793055555633,2,0,19,0.7916666666666666
02054550_l2,3h,0.9995,294.2072736111214,2,0,4,0.16666666666666666
02054550_l2,3h,0.9999,411.722343055557,2,0,3,0.125
02054550_l2,3h,0.99995,480.3452362498531,2,0,2,0.08333333333333333
02054550_l2,6h,0.99,75.25474516908157,2,0,162,6.75
02054550_l2,6h,0.995,136.60209054819083,2,0,80,3.3333333333333335
02054550_l2,6h,0.999,298.4777857142881,2,0,7,0.2916666666666667
02054550_l2,6h,0.9995,388.884284722223,2,0,3,0.125
02054550_l2,6h,0.9999,463.75777490219,2,0,2,0.08333333333333333
02054550_l2,6h,0.99995,467.1495347378701,2,0,1,0.041666666666666664
02054550_l2,12h,0.99,107.13181743714028,2,0,184,7.666666666666667
02054550_l2,12h,0.995,176.91818055555606,2,0,125,5.208333333333333
02054550_l2,12h,0.999,315.47269135802526,2,0,28,1.1666666666666667
02054550_l2,12h,0.9995,417.38927923742943,2,0,2,0.08333333333333333
02054550_l2,12h,0.9999,497.09375528791577,2,0,1,0.041666666666666664
02054550_l2,12h,0.99995,506.6290565740742,2,0,1,0.041666666666666664
02054550_l3,1h,0.99,17.84666666666671,5,0,404,16.833333333333332
02054550_l3,1h,0.995,38.660833333333244,5,0,168,7.0
02054550_l3,1h,0.999,110.42349999999885,5,0,23,0.9583333333333334
02054550_l3,1h,0.9995,145.85250000000087,5,0,13,0.5416666666666666
02054550_l3,1h,0.9999,293.3355666666461,5,0,3,0.125
02054550_l3,1h,0.99995,384.63838333342477,5,0,3,0.125
02054550_l3,3h,0.99,43.96611111111107,5,0,237,9.875
02054550_l3,3h,0.995,90.95478056068731,5,0,112,4.666666666666667
02054550_l3,3h,0.999,216.52655555555717,5,0,19,0.7916666666666666
02054550_l3,3h,0.9995,294.32447777777855,5,0,4,0.16666666666666666
02054550_l3,3h,0.9999,411.738922222228,5,0,3,0.125
02054550_l3,3h,0.99995,480.5395766665696,5,0,2,0.08333333333333333
02054550_l3,6h,0.99,75.67703435127835,5,0,161,6.708333333333333
02054550_l3,6h,0.995,136.74113986139054,5,0,80,3.3333333333333335
02054550_l3,6h,0.999,298.5542380952379,5,0,7,0.2916666666666667
02054550_l3,6h,0.9995,388.91085101010094,5,0,3,0.125
02054550_l3,6h,0.9999,463.7606543818461,5,0,2,0.08333333333333333
02054550_l3,6h,0.99995,467.1545948200348,5,0,1,0.041666666666666664
02054550_l3,12h,0.99,107.47461029411753,5,0,183,7.625
02054550_l3,12h,0.995,177.5800598021585,5,0,124,5.166666666666667
